unique_id,temperature,replicate,stage,final_baby_count,size_um,age,cumulative_babies
10_1,10,1,clutch1,17,2505.842,30,17
10_1,10,1,clutch2,2,2600.342,43,19
10_1,10,1,clutch3,17,2778.575,63,36
10_1,10,1,clutch4,18,2925.09,70,54
10_1,10,1,clutch5,12,3023.021,78,66
10_1,10,1,clutch6,20,3026.305,86,86
10_3,10,3,clutch1,4,1868.592,34,4
10_3,10,3,clutch2,8,2223.588,51,12
10_3,10,3,clutch3,19,2287.528,56,31
10_3,10,3,clutch4,7,2390.429,64,38
10_3,10,3,clutch5,7,2649.389,73,45
10_3,10,3,clutch6,10,2767.065,80,55
10_4,10,4,clutch1,9,1957.859,27,9
10_4,10,4,clutch2,6,2073.124,38,15
10_4,10,4,clutch3,1,2164.846,49,16
10_4,10,4,clutch4,9,2514.335,61,25
10_4,10,4,clutch5,18,2544.814,68,43
10_4,10,4,clutch6,7,2761.986,76,50
10_7,10,7,clutch1,5,NA,21,5
10_7,10,7,clutch2,1,NA,30,6
10_7,10,7,clutch3,5,2778.494,53,11
10_7,10,7,clutch4,25,2894.878,59,36
10_7,10,7,clutch5,1,2891.395,63,37
10_7,10,7,clutch6,10,2940.707,67,47
10_8,10,8,clutch1,7,1937.655,49,7
10_8,10,8,clutch2,12,2454.168,56,19
10_8,10,8,clutch3,13,2445.369,64,32
10_8,10,8,clutch4,2,2564.314,73,34
10_8,10,8,clutch5,10,2613.791,81,44
10_8,10,8,clutch6,17,2629.103,89,61
16_2,16,2,clutch1,8,2296.12,16,8
16_2,16,2,clutch2,14,2478.855,20,22
16_2,16,2,clutch3,1,2476.935,22,23
16_2,16,2,clutch4,18,2469.332,24,41
16_2,16,2,clutch5,30,2812.832,29,71
16_3,16,3,clutch1,12,1971.472,14,12
16_3,16,3,clutch2,3,2161.575,17,15
16_3,16,3,clutch3,15,2278.629,21,30
16_3,16,3,clutch4,24,2472.779,25,54
16_5,16,5,clutch1,11,2010.719,13,11
16_5,16,5,clutch2,32,2073.391,18,43
16_5,16,5,clutch3,29,2244.849,21,72
16_5,16,5,clutch4,27,2357.156,28,99
16_5,16,5,clutch5,36,2448.109,30,135
16_5,16,5,clutch6,17,2582.105,34,152
16_6,16,6,clutch1,4,1926.794,13,4
16_6,16,6,clutch2,12,2112.922,17,16
16_6,16,6,clutch3,11,2204.195,21,27
16_6,16,6,clutch4,19,2315.535,25,46
16_6,16,6,clutch5,17,2503.681,31,63
16_6,16,6,clutch6,18,2666.917,33,81
16_7,16,7,clutch1,5,2110.467,13,5
16_7,16,7,clutch2,11,2295.263,17,16
16_7,16,7,clutch3,3,2296.964,18,19
16_7,16,7,clutch4,10,2449.143,23,29
16_7,16,7,clutch5,22,2607.241,29,51
16_8,16,8,clutch1,2,2007.199,13,2
16_8,16,8,clutch2,5,2170.523,18,7
16_8,16,8,clutch3,8,2355.556,22,15
16_8,16,8,clutch4,13,2495.942,26,28
20_1,20,1,clutch1,1,1848.806,14,1
20_1,20,1,clutch2,10,2050.805,16,11
20_1,20,1,clutch3,6,2154.017,18,17
20_1,20,1,clutch4,15,2207.839,20,32
20_1,20,1,clutch5,15,2242.97,23,47
20_1,20,1,clutch6,0,2203.369,24,47
20_2,20,2,clutch1,16,2224.461,13,16
20_2,20,2,clutch2,18,2540.518,19,34
20_2,20,2,clutch3,11,2616.893,22,45
20_2,20,2,clutch4,22,2650.695,25,67
20_2,20,2,clutch5,15,2723.107,28,82
20_2,20,2,clutch6,21,2820.129,31,103
20_3,20,3,clutch1,12,2253.066,14,12
20_3,20,3,clutch2,3,2266.841,15,15
20_3,20,3,clutch3,16,2383.85,17,31
20_3,20,3,clutch4,16,2504.256,20,47
20_3,20,3,clutch5,12,2510.516,24,59
20_3,20,3,clutch6,8,2597.914,26,67
20_4,20,4,clutch1,8,2257.85,11,8
20_4,20,4,clutch2,13,2485.808,14,21
20_4,20,4,clutch3,21,2597.354,17,42
20_4,20,4,clutch4,29,2619.14,20,71
20_4,20,4,clutch5,16,2882.069,26,87
20_4,20,4,clutch6,7,2948.426,29,94
20_5,20,5,clutch1,5,2128.481,16,5
20_5,20,5,clutch2,18,2078.538,18,23
20_5,20,5,clutch3,0,2232.76,20,23
20_5,20,5,clutch4,21,2185.972,21,44
20_5,20,5,clutch5,6,2169.796,24,50
20_5,20,5,clutch6,7,2537.797,28,57
20_6,20,6,clutch1,11,2235.409,17,11
20_6,20,6,clutch2,16,2251.74,20,27
20_6,20,6,clutch3,9,2303.24,23,36
20_6,20,6,clutch4,1,2296.01,25,37
