replicate,temperature,generation_time,experiment
2N1.2,12,14,summer2016
A,12,20,summer2016
E,12,15,summer2016
F,12,14,summer2016
G,12,15,summer2016
2N1.3,16,15,summer2016
A,16,14,summer2016
B,16,11,summer2016
E,16,10,summer2016
F,16,9,summer2016
G,16,11,summer2016
A,20,10,summer2016
B,20,8,summer2016
F,20,10,summer2016
L,20,10,summer2016
K,20,10,summer2016
G,20,10,summer2016
2N1.5,24,13,summer2016
A,24,8,summer2016
B,24,7,summer2016
E,24,6,summer2016
F,24,5,summer2016
L,24,8,summer2016
E,8,29,summer2016
F,8,22,summer2016
1,10,30,acclimated
3,10,34,acclimated
4,10,27,acclimated
7,10,21,acclimated
8,10,49,acclimated
2,16,16,acclimated
3,16,14,acclimated
5,16,13,acclimated
6,16,13,acclimated
7,16,13,acclimated
8,16,13,acclimated
1,20,14,acclimated
2,20,13,acclimated
3,20,14,acclimated
4,20,11,acclimated
5,20,16,acclimated
6,20,17,acclimated
7,20,14,acclimated
8,20,17,acclimated
1,24,8,acclimated
2,24,10,acclimated
3,24,5,acclimated
4,24,9,acclimated
6,24,11,acclimated
7,24,8,acclimated
8,24,8,acclimated
1,27,5,acclimated
2,27,6,acclimated
3,27,8,acclimated
4,27,5,acclimated
5,27,8,acclimated
6,27,6,acclimated
8,27,5,acclimated
1,10,33,lifepsan
2,10,38,lifepsan
3,10,33,lifepsan
4,10,30,lifepsan
5,10,39,lifepsan
6,10,NA,lifepsan
7,10,38,lifepsan
8,10,27,lifepsan
1,16,12,lifepsan
2,16,12,lifepsan
3,16,15,lifepsan
4,16,16,lifepsan
5,16,13,lifepsan
6,16,14,lifepsan
7,16,13,lifepsan
8,16,15,lifepsan
1,20,9,lifepsan
2,20,9,lifepsan
3,20,10,lifepsan
4,20,10,lifepsan
5,20,9,lifepsan
6,20,11,lifepsan
7,20,9,lifepsan
8,20,8,lifepsan
1,24,7,lifepsan
2,24,7,lifepsan
3,24,8,lifepsan
4,24,10,lifepsan
5,24,8,lifepsan
6,24,7,lifepsan
7,24,7,lifepsan
8,24,10,lifepsan
1,27,7,lifepsan
2,27,7,lifepsan
3,27,10,lifepsan
4,27,7,lifepsan
5,27,8,lifepsan
6,27,9,lifepsan
7,27,8,lifepsan
8,27,7,lifepsan
NA,27,7,tsr
NA,27,7,tsr
NA,27,10,tsr
NA,27,7,tsr
NA,27,7,tsr
NA,27,7,tsr
NA,27,7,tsr
NA,24,7,tsr
NA,24,7,tsr
NA,24,7,tsr
NA,24,7,tsr
NA,24,7,tsr
NA,24,7,tsr
NA,24,22,tsr
NA,20,9,tsr
NA,20,9,tsr
NA,20,9,tsr
NA,20,16,tsr
NA,20,9,tsr
NA,16,21,tsr
NA,16,22,tsr
NA,16,11,tsr
NA,16,11,tsr
NA,16,11,tsr
NA,16,12,tsr
NA,16,11,tsr
NA,10,19,tsr
NA,10,26,tsr
NA,10,31,tsr
NA,10,34,tsr
NA,10,27,tsr
