unique_id,id,early_death_notes,temperature,life_stage,date,length,clutch_size,version,ID,X7
F_20,F,NA,20.0,birth,2016-07-06,1056.943,NA,NA,NA,NA
F_8,F,NA,8.0,birth,2016-07-06,1042.315,NA,NA,NA,NA
2N1.2_12,2N1.2,"July 28th - two adults in the tube, based on size concluded that one was 20 V2 G and that the babies belong to 12 V2 N.",12.0,clutch_1,2016-07-18,1877.499,NA,NA,NA,NA
A_12,A,NA,12.0,clutch_1,2016-07-25,1856.525,4,NA,NA,NA
E_12,E,NA,12.0,clutch_1,2016-07-21,1884.591,5,NA,NA,NA
F_12,F,NA,12.0,clutch_1,2016-07-20,2014.199,5,NA,NA,NA
G_12,G,NA,12.0,clutch_1,2016-08-01,2171.0,NA,NA,NA,NA
2N1.3_16,2N1.3,NA,16.0,clutch_1,2016-07-19,2386.327,2,NA,NA,NA
A_16,A,NA,16.0,clutch_1,2016-07-19,2011.869,2,NA,NA,NA
B_16,B,NA,16.0,clutch_1,2016-07-17,1998.19,3,NA,NA,NA
F_16,F,Dead July 25th,16.0,clutch_1,2016-07-15,2270.188,5,NA,NA,NA
K_16,K,NA,16.0,clutch_1,2016-09-04,2825.929,NA,NA,NA,NA
G_16,G,July 28th - measurement of only one baby ( No other babies found),16.0,clutch_1,2016-07-28,2235.283,0,NA,NA,NA
A_20,A,NA,20.0,clutch_1,2016-07-15,2178.576,10,NA,NA,NA
B_20,B,NA,20.0,clutch_1,2016-07-14,1875.019,3,NA,NA,NA
L_20,L,NA,20.0,clutch_1,2016-07-15,1875.717,28,NA,NA,NA
K_20,K,NA,20.0,clutch_1,2016-07-27,1912.663,NA,NA,NA,NA
G_20,G,July 28th - Georgia couldn`t find the Daphnia. Found 2 adults in 12 V2 N and based on size concluded that one was the 20 V2 G./ Dead Aug 8th,20.0,clutch_1,2016-07-27,2394.311,2,NA,NA,NA
2N1.5_24,2N1.5,NA,24.0,clutch_1,2016-07-17,2390.092,9,NA,NA,NA
A_24,A,NA,24.0,clutch_1,2016-07-13,1854.054,1,NA,NA,NA
B_24,B,NA,24.0,clutch_1,2016-07-13,2041.427,0,NA,NA,NA
E_24,E,NA,24.0,clutch_1,2016-07-12,1899.974,0,NA,NA,NA
F_24,F,NA,24.0,clutch_1,2016-07-11,1982.991,7,NA,NA,NA
