date_measured,temperature,replicate,stage,magnification,size_(um),Notes,projected_experiment_start_date
05-24-2017,10,1,neonate,4,797.786,,5/23/2017
06-23-2017,10,1,clutch1,4,2505.842,,
07-06-2017,10,1,clutch2,4,2600.342,,
07-26-2017,10,1,clutch3,4,2778.575,,
08-02-2017,10,1,clutch4,4,2925.09,,
08-10-2017,10,1,clutch5,4,3023.021,,
,10,1,clutch6,4,,,
,10,1,clutch7,4,,,
,10,1,clutch8,4,,,
05-28-2017,10,2,neonate,4,782.464,this rep died before reaching clutch2. ,
06-24-2017,10,2,clutch1,4,2311.5,,
07-26-2017,10,2,clutch2,4,2245.425,,
,10,2,clutch3,4,,,
,10,2,clutch4,4,,,
,10,2,clutch5,4,,,
,10,2,clutch6,4,,,
,10,2,clutch7,4,,,
,10,2,clutch8,4,,,
08-13-2017,10,2,neonate,4,758.441,restarted,
,10,2,clutch1,4,,,
06-03-2017,10,3,neonate,4,718.112,From 10-2 lineage,
07-07-2017,10,3,clutch1,4,1868.592,From 10-2 lineage,
07-24-2017,10,3,clutch2,4,2223.588,From 10-2 lineage,
07-29-2017,10,3,clutch3,4,2287.528,From 10-2 lineage,
08-06-2017,10,3,clutch4,4,2390.429,From 10-2 lineage,
,10,3,clutch5,4,,From 10-2 lineage,
,10,3,clutch6,4,,From 10-2 lineage,
,10,3,clutch7,4,,,
,10,3,clutch8,4,,,
05-24-2017,10,4,neonate,4,707.638,,
06-20-2017,10,4,clutch1,4,1957.859,,
07-01-2017,10,4,clutch2,4,2073.124,,
07-12-2017,10,4,clutch3,4,2164.846,,
07-24-2017,10,4,clutch4,4,2514.335,,
07-31-2017,10,4,clutch5,4,2544.814,,
08-08-2017,10,4,clutch6,4,2761.986,,
,10,4,clutch7,4,,,
,10,4,clutch8,4,,,
07-16-2017,10,5,neonate,4,647.199,"started a little later, as pre-experiment mom was accidentally kept instead of collecting a baby from its first clutch ",
,10,5,clutch1,4,,,
,10,5,clutch2,4,,,
,10,5,clutch3,4,,,
,10,5,clutch4,4,,,
,10,5,clutch5,4,,,
,10,5,clutch6,4,,,
,10,5,clutch7,4,,,
,10,5,clutch8,4,,,
06-13-2017,10,6,neonate,4,711.473,,
07-24-2017,10,6,clutch1,4,2044.392,,
08-07-2017,10,6,clutch2,4,2418.349,,
,10,6,clutch3,4,,,
,10,6,clutch4,4,,,
,10,6,clutch5,4,,,
,10,6,clutch6,4,,,
,10,6,clutch7,4,,,
,10,6,clutch8,4,,,
05-29-2017,10,7,neonate,4,1040.44,,
06-19-2017,10,7,clutch1,4,,forgot to measure,
06-28-2017,10,7,clutch2,4,,forgot to measure,
07-21-2017,10,7,clutch3,4,2778.494,,
07-27-2017,10,7,clutch4,4,2894.878,,
07-31-2017,10,7,clutch5,4,2891.395,,
08-04-2017,10,7,clutch6,4,2940.707,,
08-12-2017,10,7,clutch7,4,2973.49,,
,10,7,clutch8,4,,,
06-02-2017,10,8,neonate,4,714.553,,
07-21-2017,10,8,clutch1,4,1937.655,,
07-28-2017,10,8,clutch2,4,2454.168,,
08-05-2017,10,8,clutch3,4,2445.369,,
08-14-2017,10,8,clutch4,4,2564.314,,
,10,8,clutch5,4,,,
