 ,Area,Mean,X,Y,XM,YM,Perim.,Major,Minor,Angle
1,0.000,51,2.700,1.723,2.702,1.722,0,0.004,0.004,0
2,0.000,57,2.733,2.003,2.735,2.002,0,0.004,0.004,0
3,0.000,55,2.900,1.890,2.902,1.888,0,0.004,0.004,0
4,0.000,49,2.773,1.503,2.775,1.502,0,0.004,0.004,0
5,0.000,58,2.967,1.517,2.968,1.515,0,0.004,0.004,0
6,0.000,66,3.227,1.523,3.228,1.522,0,0.004,0.004,0
7,0.000,62,3.380,1.563,3.382,1.562,0,0.004,0.004,0
8,0.000,45,3.160,1.870,3.162,1.868,0,0.004,0.004,0
9,0.000,60,3.160,2.157,3.162,2.155,0,0.004,0.004,0
10,0.000,62,3.413,2.223,3.415,2.222,0,0.004,0.004,0
11,0.000,50,3.413,2.310,3.415,2.308,0,0.004,0.004,0
12,0.000,49,3.420,2.063,3.422,2.062,0,0.004,0.004,0
13,0.000,77,3.693,1.883,3.695,1.882,0,0.004,0.004,0
14,0.000,69,3.713,2.323,3.715,2.322,0,0.004,0.004,0
15,0.000,59,3.747,2.123,3.748,2.122,0,0.004,0.004,0
