temperature,replicate,birth_date,death_date,lifespan,days_to_clutch1,max_body_size,Notes,clutch1_bd,clutch2_bd,clutch3_bd,clutch4_bd,clutch5_bd,clutch6_bd,clutch7_bd,clutch8_bd,clutch9_bd,clutch10_bd,clutch11_bd,clutch12_bd,clutch13_bd,clutch14_bd,clutch15_bd,clutch16_bd,clutch17_bd,clutch18_bd,clutch19_bd,clutch20_bd,clutch21_bd,clutch22_bd,clutch23_bd,clutch24_bd,clutch25_bd,clutch26_bd,clutch27_bd,clutch28_bd
10,1,05-18-2017,,08-12-1782,33,,,06-20-2017,06-25-2017,07-03-2017,07-12-2017,07-19-2017,07-27-2017,08-04-2017,08-05-2017,08-13-2017,,,,,,,,,,,,,,,,,,,
10,2,05-18-2017,,08-12-1782,38,,,06-25-2017,07-03-2017,07-10-2017,07-26-2017,08-04-2017,08-12-2017,,,,,,,,,,,,,,,,,,,,,,
10,3,05-18-2017,,08-12-1782,33,,From 10-2 lineage,06-20-2017,06-25-2017,07-03-2017,07-12-2017,07-21-2017,07-28-2017,08-01-2017,08-05-2017,08-14-2017,,,,,,,,,,,,,,,,,,,
10,4,05-21-2017,,08-09-1782,30,,,06-20-2017,06-27-2017,07-03-2017,07-06-2017,07-26-2017,08-02-2017,08-12-2017,08-14-2017,,,,,,,,,,,,,,,,,,,,
10,5,05-23-2017,,08-07-1782,39,,,07-01-2017,08-10-2017,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,05-25-2017,07-25-2017,61,08-05-1782,,disposed before measuring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7,05-20-2017,,08-10-1782,38,,,06-27-2017,07-03-2017,07-27-2017,08-05-2017,08-13-2017,,,,,,,,,,,,,,,,,,,,,,,
10,8,05-17-2017,,08-13-1782,27,,,06-13-2017,06-21-2017,06-29-2017,07-07-2017,07-16-2017,07-24-2017,07-31-2017,08-09-2017,,,,,,,,,,,,,,,,,,,,
16,1,05-19-2017,07-07-2017,49,12,3118.578,,05-31-2017,06-04-2017,06-07-2017,06-11-2017,06-15-2017,06-20-2017,06-23-2017,06-27-2017,07-06-2017,,,,,,,,,,,,,,,,,,,
16,2,05-18-2017,,08-12-1782,12,,,05-30-2017,06-04-2017,06-06-2017,06-10-2017,06-14-2017,06-20-2017,06-25-2017,06-29-2017,07-03-2017,07-06-2017,07-07-2017,07-16-2017,07-20-2017,07-25-2017,07-29-2017,08-04-2017,08-08-2017,08-14-2017,,,,,,,,,,
16,3,05-17-2017,06-23-2017,37,15,2551.691,,06-01-2017,06-05-2017,06-10-2017,06-20-2017,06-23-2017,,,,,,,,,,,,,,,,,,,,,,,
16,4,06-07-2017,,07-23-1782,16,,From 16-4 lineage,06-23-2017,06-23-2017,06-27-2017,07-01-2017,07-07-2017,07-10-2017,07-11-2017,07-13-2017,07-14-2017,07-18-2017,07-24-2017,07-29-2017,08-02-2017,08-13-2017,,,,,,,,,,,,,,
16,5,05-19-2017,07-23-2017,65,13,2996.737,,06-01-2017,06-05-2017,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,07-29-2017,,06-01-1782,14,,,08-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7,05-17-2017,,08-13-1782,13,,,05-30-2017,06-03-2017,06-06-2017,06-10-2017,06-14-2017,06-18-2017,06-20-2017,06-24-2017,07-01-2017,07-03-2017,07-06-2017,07-16-2017,07-20-2017,07-25-2017,08-03-2017,08-08-2017,08-09-2017,08-13-2017,,,,,,,,,,
16,8,05-17-2017,,08-13-1782,15,,,06-01-2017,06-04-2017,06-08-2017,06-12-2017,06-13-2017,06-16-2017,06-20-2017,06-25-2017,06-29-2017,07-05-2017,07-08-2017,07-17-2017,07-24-2017,07-31-2017,08-07-2017,08-12-2017,,,,,,,,,,,,
20,1,06-26-2017,,07-04-1782,9,,epphipia on 07-08-2017,07-05-2017,07-12-2017,07-16-2017,07-18-2017,07-21-2017,07-24-2017,07-27-2017,07-30-2017,08-03-2017,08-06-2017,08-10-2017,08-12-2017,08-13-2017,08-15-2017,,,,,,,,,,,,,,
20,2,05-23-2017,,08-07-1782,9,,,06-01-2017,06-03-2017,06-06-2017,06-08-2017,06-10-2017,06-11-2017,06-13-2017,06-14-2017,06-17-2017,06-19-2017,06-20-2017,06-23-2017,06-26-2017,06-29-2017,07-03-2017,07-05-2017,07-08-2017,07-11-2017,07-12-2017,07-14-2017,07-16-2017,07-18-2017,07-19-2017,07-21-2017,07-24-2017,07-28-2017,08-08-2017,08-15-2017
20,3,05-18-2017,07-08-2017,51,10,3330.223,died before 3 clutches collected,05-28-2017,05-31-2017,06-03-2017,06-05-2017,06-08-2017,06-11-2017,06-12-2017,06-14-2017,06-17-2017,06-19-2017,06-20-2017,06-24-2017,06-26-2017,06-29-2017,07-05-2017,,,,,,,,,,,,,
20,4,05-26-2017,08-12-2017,78,10,3023.93,,06-05-2017,06-08-2017,06-11-2017,06-12-2017,06-14-2017,06-17-2017,06-20-2017,06-21-2017,06-23-2017,06-26-2017,06-29-2017,07-03-2017,07-05-2017,07-10-2017,07-12-2017,07-16-2017,07-19-2017,07-24-2017,07-25-2017,07-29-2017,07-30-2017,08-01-2017,08-05-2017,,,,,
20,5,05-26-2017,07-27-2017,62,9,3204.574,,06-04-2017,06-07-2017,06-15-2017,06-17-2017,06-20-2017,06-22-2017,06-25-2017,06-26-2017,06-27-2017,06-29-2017,07-03-2017,07-05-2017,07-08-2017,07-11-2017,07-14-2017,07-17-2017,07-20-2017,07-24-2017,,,,,,,,,,
20,6,05-25-2017,,08-05-1782,11,,,06-05-2017,06-06-2017,06-07-2017,06-10-2017,06-13-2017,06-16-2017,06-18-2017,06-19-2017,06-21-2017,06-24-2017,06-27-2017,06-30-2017,07-05-2017,07-07-2017,07-10-2017,07-13-2017,07-16-2017,07-17-2017,07-20-2017,07-24-2017,07-26-2017,07-30-2017,08-03-2017,08-07-2017,08-10-2017,08-13-2017,,
20,7,05-26-2017,,08-04-1782,9,,,06-04-2017,06-12-2017,06-18-2017,06-21-2017,06-24-2017,06-27-2017,07-01-2017,07-05-2017,07-07-2017,07-11-2017,07-14-2017,07-18-2017,07-19-2017,07-21-2017,07-24-2017,07-28-2017,07-30-2017,07-31-2017,08-04-2017,08-08-2017,,,,,,,,
20,8,06-25-2017,08-06-2017,42,8,3145.316,,07-03-2017,07-05-2017,07-07-2017,07-16-2017,07-20-2017,,,,,,,,,,,,,,,,,,,,,,,
24,1,06-13-2017,08-14-2017,62,7,2855.017,,06-20-2017,06-23-2017,06-24-2017,06-26-2017,06-28-2017,06-30-2017,07-03-2017,07-05-2017,07-07-2017,07-10-2017,07-12-2017,07-14-2017,07-16-2017,07-19-2017,07-21-2017,07-24-2017,07-27-2017,07-30-2017,08-02-2017,08-04-2017,08-05-2017,08-10-2017,08-13-2017,,,,,
24,2,06-13-2017,08-01-2017,49,7,2689.242,,06-20-2017,06-24-2017,06-25-2017,06-28-2017,06-29-2017,07-01-2017,07-03-2017,07-06-2017,07-08-2017,07-14-2017,07-17-2017,07-19-2017,,,,,,,,,,,,,,,,
24,3,06-12-2017,08-11-2017,60,8,2784.566,,06-20-2017,06-21-2017,06-23-2017,06-25-2017,06-27-2017,06-29-2017,07-01-2017,07-03-2017,07-06-2017,07-07-2017,07-08-2017,07-10-2017,07-12-2017,07-14-2017,07-16-2017,07-17-2017,07-20-2017,07-24-2017,07-25-2017,07-28-2017,07-30-2017,08-02-2017,08-04-2017,,,,,
24,4,06-14-2017,,07-16-1782,10,,,06-24-2017,06-26-2017,06-28-2017,06-30-2017,07-03-2017,07-05-2017,07-06-2017,07-10-2017,07-14-2017,07-16-2017,07-17-2017,07-18-2017,07-20-2017,07-24-2017,07-29-2017,08-01-2017,08-04-2017,08-12-2017,08-14-2017,,,,,,,,,
24,5,08-05-2017,,-42952,8,,,08-13-2017,08-15-2017,,,,,,,,,,,,,,,,,,,,,,,,,,
